review,rating
"Afgelopen zaterdag is een bestelling mis gegaan via thuisbezorgd, geen eten en ook mijn €30,50 niet terug. 10% korting op mijn volgende bestelling. Wat heb ik daar aan?!Er wordt vervolgens gevraagd om een mail te sturen na aanleiding van je review en dan krijg je vervolgens weer een coupon van 7.50. Nee thuisbezorgd, hier heb ik niks aan. Ik wil gewoon mijn geld terug, want ik heb nooit mijn eten gekregen!",1
In het algemeen ben ik wel tevreden hoe zij met klanten omgaan.,4
"Zeer slecht. We hadden voor 7 personen eten besteld om 17.45 bij Dorper Pizza Syrine. Zij gaven aan dat het 59 min zou duren. Rond paar minuten voor 7 kregen we een bericht dat het onderweg was. Om tien over 7 nog steeds niets. Gebeld met het restaurant tot 3 keer aan toe omdat er nog mensen 2,5 uur moesten rijden en dat met een avondklok. Uiteindelijk komt het eten om 19.40. Pizza’s waren koud. Echt geen aanrader.",1
"Wat een slechte service zeg! Heb om 18.30u een bestelling geplaatst voor 20.45u. Bellen ze mij om 21.05 op om te zeggen dat de bestelling wordt geannuleerd wegens ontbreken van enkele ingrediënten. Ik geef de bestelling toch niet voor niets ruim op tijd door? Het enige wat ze dan zeggen is je krijgt je geld terug. Sowieso behoor je mijn geld terug te geven, maar wat doe je vervolgens aan zo'n grote fout? Is dit de oplossing voor het lange wachten, de verwachtingen, het ontbreken van het eten en de slechte service? Geef op tijd de bestelling door aan de winkel en hou ze op de hoogte van de levertijd. Wat is dit superslecht geregeld zeg. Doe hier wat aan!",1
Bij thuisbezorgd.nl moet je heel goed uitkijken zit in een hotel in Lelystad langs de a6 en hier laat thuisbezorgd heel veel restaurants op bezorgen staan en laat je dus uiteindelijk betalen ook om vervolgens na een halfuur gebeld te worden dat ze daar niet leveren dit was 2 dagen terug ben nog steeds aan het vechten om van twee bestellingen bij verschillende restaurants mijn geld terug te krijgen en dan is er nog eens de medewerkers aan de telefoon die vinden dat ik maar moet uitzoeken hoe het precies zit want restaurants zijn pas vanaf 17 uur beschikbaar 😪 dus wij moeten vanmiddag langs betreffende restaurants hier rijden dus bij deze thuisbezorgd dienst is in sommige gevallen een criminele dieven dienst geen vertrouwen in deze gasten en ga zeker juridische opties bekijken want dit is schande!!!,1
KWALITARIA eten besteld bij deze zaak in leidsche Rijn centrum maar nog nooit zulk smerig eten gekregen echt alles was goor !!! Gebeld en krijg nog een ontzettende grote mond van het personeel. Bestel daar nooit meer 🤐,1
"Ik ben echt ongelofelijk teleurgesteld in de abominabel slechte dienstverlening van Thuisbezorgd:Ik had om 19:30u eten besteld, telkens zou het '20 minuten duren', toen 17 minuten, toen weer 20 minuten, om uiteindelijk om 21:30u te horen te krijgen dat het eten helemaal niet zou komen!!De avondklok ging in, de supermarkt was dicht, dus ik moest mijn gast zonder eten naar huis sturen en kon zelf ook mooi zonder eten naar bed. Als klap op de vuurpijl krijg ik de vooraf betaalde fooi niet terug van Thuisbezorgd, 'want dat is helaas niet mogelijk'. Echt schandalig dit, ik kan er niet over uit..Ik raad iedereen aan hier NOOIT meer te bestellen.",1
"Heb op 18-04-2021 spareribs besteld , en heb daar ruim 2 uur op moeten wachten. En de hamburgers waren helemaal koud + het brood. De aard waren zwart geblakerd. Ik hoef nooit meer daar wat te bestellen. Zo slecht.Mevr dudink",1
Gewoon weer te te weer te laat 45 minuten en koud eten,1
"Niet thuisbezorgdIedereen verdient een tweede kans... maar thuisbezorgd levert opnieuw niet. Veeeel te laat(+1,5uur), je kunt er niet op rekenen en de app geeft verkeerde informatie. Thuisbezorgd is voor ons garantie voor gedoe. Dit was onze laatste keer.",1
